fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion,brecha_ancla_meta,ancla_dentro_banda_meta
2020-11-01,B0,Modelo base TVP-VAR,2.6630358980074242,0.10177927124585544,0.2520246348694625,0.8639269740814354,4.121095629034645,5.46,4.27,4,0.12109562903464521,TRUE
2020-12-01,B0,Modelo base TVP-VAR,2.663478134309314,0.10127030174340147,0.2520246348694625,0.8646074370033194,4.118536076336363,4.82,4.26,4,0.11853607633636276,TRUE
2021-01-01,B0,Modelo base TVP-VAR,2.6672363415023947,0.10091683822787621,0.2520246348694625,0.8650799973736246,4.1220944174399765,5.24,4.12,4,0.12209441743997651,TRUE
2021-02-01,B0,Modelo base TVP-VAR,2.681920466260695,0.10101569776215663,0.2520246348694625,0.8649478278679308,4.145421425063273,6,4.39,4,0.14542142506327327,TRUE
2021-03-01,B0,Modelo base TVP-VAR,2.682304023583965,0.10047093909273185,0.2520246348694625,0.8656761388455654,4.142526160010147,5.84,4.34,4,0.14252616001014662,TRUE
2021-04-01,B0,Modelo base TVP-VAR,2.687934383212165,0.10019656985483393,0.2520246348694625,0.8660429547203771,4.149463370544791,5.2,4.39,4,0.1494633705447912,TRUE
2021-05-01,B0,Modelo base TVP-VAR,2.691209006113192,0.09980403711275396,0.25202463486946247,0.8665677483972536,4.15200254899173,5.17,4.41,4,0.15200254899172982,TRUE
2021-06-01,B0,Modelo base TVP-VAR,2.6849691321154334,0.09898655916460028,0.25202463486946247,0.8676606693492839,4.137157848384147,3.91,4.23,4,0.13715784838414713,TRUE
2021-07-01,B0,Modelo base TVP-VAR,2.686689245086476,0.09852254641583,0.2520246348694625,0.8682810276797877,4.1368505419739945,3.82,4.12,4,0.1368505419739945,TRUE
2021-08-01,B0,Modelo base TVP-VAR,2.6902401756362733,0.09812001815957262,0.25202463486946247,0.8688191847836477,4.13975231284274,3.62,4.14,4,0.1397523128427398,TRUE
2021-09-01,B0,Modelo base TVP-VAR,2.6900636138075993,0.09759519062656706,0.25202463486946247,0.869520848979385,4.13614024421831,3.67,4.2,4,0.13614024421830972,TRUE
2021-10-01,B0,Modelo base TVP-VAR,2.6783521696614616,0.09671171749920858,0.25202463486946247,0.8707020016864722,4.11254670731697,2.96,3.89,4,0.11254670731697036,TRUE
2021-11-01,B0,Modelo base TVP-VAR,2.687191675749037,0.09647604554994799,0.25202463486946247,0.8710170815142944,4.124626987299002,2.89,4.08,4,0.12462698729900179,TRUE
2021-12-01,B0,Modelo base TVP-VAR,2.683110849233658,0.09591189342341416,0.25202463486946247,0.8717713204275443,4.114800116327919,3.07,4.02,4,0.11480011632791864,TRUE
2022-01-01,B0,Modelo base TVP-VAR,2.6758277004731434,0.09526825236950459,0.25202463486946247,0.8726318314602804,4.0995840985308964,2.87,4.09,4,0.09958409853089645,TRUE
2022-02-01,B0,Modelo base TVP-VAR,2.657488345946363,0.09433307796105485,0.25202463486946247,0.8738821058035893,4.06566159826392,2.98,3.92,4,0.06566159826391971,TRUE
2022-03-01,B0,Modelo base TVP-VAR,2.643121437713744,0.09349582632321878,0.2520246348694625,0.8750014630402944,4.038508892929484,4.17,3.8,4,0.03850889292948434,TRUE
2022-04-01,B0,Modelo base TVP-VAR,2.6399243769733562,0.09294447015223585,0.25202463486946247,0.8757385944976743,4.030228798690183,4.62,3.94,4,0.03022879869018258,TRUE
2022-05-01,B0,Modelo base TVP-VAR,2.6413303215854294,0.09255797625928872,0.25202463486946247,0.8762553145809349,4.029997321453881,5.82,4.01,4,0.02999732145388112,TRUE
2022-06-01,B0,Modelo base TVP-VAR,2.6480245627884718,0.09238132877524446,0.2520246348694625,0.8764914820969779,4.039122407991826,7.55,4.16,4,0.03912240799182598,TRUE
2022-07-01,B0,Modelo base TVP-VAR,2.6584160305182563,0.09238949867006674,0.2520246348694625,0.8764805594179659,4.055023402000916,8.36,4.51,4,0.05502340200091638,TRUE
2022-08-01,B0,Modelo base TVP-VAR,2.658050609142783,0.09170011525347699,0.2520246348694625,0.8774022253560806,4.050206997202339,8.87,4.55,4,0.05020699720233868,TRUE
2022-09-01,B0,Modelo base TVP-VAR,2.6588354877736275,0.09109332824496448,0.2520246348694625,0.8782134646519183,4.047660521179375,9.03,4.61,4,0.047660521179374804,TRUE
2022-10-01,B0,Modelo base TVP-VAR,2.659981445493986,0.09051404991447952,0.2520246348694625,0.8789879264289902,4.045837198223367,9.7,4.67,4,0.04583719822336718,TRUE
