date,inflation,exp12,exp24,target,beta,credibility,anchor
2021-11,2.89,4.17,4.08,4,0.0667650882990531,0.8710170815142944,4.124626987299002
2021-12,3.07,4.22,4.02,4,0.06714320475643598,0.8717713204275443,4.114800116327919
2022-01,2.87,4.2,4.09,4,0.06584642832644287,0.8726318314602804,4.0995840985308964
2022-02,2.98,3.84,3.92,4,0.0679388862897958,0.8738821058035893,4.06566159826392
2022-03,4.17,3.79,3.8,4,0.06732051366343532,0.8750014630402944,4.038508892929484
2022-04,4.62,4.14,3.94,4,0.06621701393874861,0.8757385944976743,4.030228798690183
2022-05,5.82,4.29,4.01,4,0.06321134730253203,0.8762553145809349,4.029997321453881
2022-06,7.55,4.61,4.16,4,0.061543122685272664,0.8764914820969779,4.039122407991826
2022-07,8.36,4.88,4.51,4,0.06513583181050334,0.8764805594179659,4.055023402000916
2022-08,8.87,5.44,4.55,4,0.05827049708734246,0.8774022253560806,4.050206997202339
2022-09,9.03,5.6,4.61,4,0.05330160333368113,0.8782134646519183,4.047660521179375
2022-10,9.7,5.64,4.67,4,0.04985962969303373,0.8789879264289902,4.045837198223367
2022-11,9.17,6.27,4.8,4,0.050466705036285656,0.8800881047568985,4.037748614111323
2022-12,9.24,6.15,4.71,4,0.047782282182092246,0.8822665814757951,4.010085406981396
2023-01,9.69,5.47,4.62,4,0.04473241029414983,0.8849431504695848,3.973170580680895
2023-02,9.92,5.27,4.49,4,0.039992675112366365,0.8877047471964732,3.934894418827646
2023-03,8.71,5.19,4.43,4,0.037737959424369534,0.8893223186888486,3.9173250063579355
2023-04,8.32,5.11,4.39,4,0.0355839126813347,0.8894482021296771,3.9260432355177004
2023-05,6.54,5.03,4.3,4,0.03444792682659458,0.8889767850225838,3.9463840771450944
2023-06,4.93,4.94,4.24,4,0.03431738387182221,0.8873243017114874,3.990652633036558
2023-07,4.53,4.67,4.21,4,0.03468061928675633,0.8853393314912947,4.0432873920056664
2023-08,4.47,4.56,4.17,4,0.03621042835175228,0.8835912604298779,4.088728765473287
2023-09,4.69,4.44,4.15,4,0.03712227615473446,0.8819082777454196,4.132148291298271
2023-10,4.98,4.54,4.32,4,0.03770024161126565,0.8801127440801739,4.179598741089131
2023-11,4.3,4.5,4.43,4,0.038599647492372255,0.8788771711034435,4.20873329803426
2023-12,4.18,4.48,4.32,4,0.040136575194779395,0.8783599937371932,4.2153624149038595
2024-01,3.82,4.47,4.29,4,0.03650549009834696,0.878058264125835,4.214319752523433
2024-02,3.3,4.35,4.28,4,0.03574316573239509,0.8780115961217005,4.203960999206655
2024-03,3.24,4.05,4.14,4,0.03687404189419126,0.8783642680874462,4.1778378260414275
2024-04,3.36,3.85,4.02,4,0.037657203401897536,0.8787797729749374,4.148916165545765
2024-05,3.76,3.97,3.99,4,0.038075739959515686,0.8790275792774309,4.127663332677636
2024-06,3.62,3.99,4.02,4,0.03845868819561671,0.87911401054576,4.113537023607171
2024-07,3.78,4.09,4.07,4,0.04034182786501523,0.8790666072931244,4.104751885278148
2024-08,3.07,3.99,4.02,4,0.0430305638084713,0.8791481403783111,4.090648136536637
2024-09,2.11,4.04,3.97,4,0.04461705837769708,0.879064502688693,4.0831002735413335
2024-10,1.16,3.91,3.96,4,0.04773399673139007,0.878960918414297,4.076504092846983
2024-11,1.66,3.59,3.66,4,0.056198750221933984,0.8790754054396149,4.055208545502575
2024-12,1.7,3.89,3.95,4,0.05797451320119994,0.8790415536360419,4.0515365515554755
2025-01,2.19,3.54,3.76,4,0.05993810480376113,0.8794222015725911,4.012898508077834
2025-02,1.79,3.65,3.79,4,0.05644558542636018,0.8797462914216871,3.9789523603929116
2025-03,1.57,3.46,3.71,4,0.05788594764412231,0.8801398902961939,3.9405210834858155
2025-04,1.47,3.53,3.62,4,0.05816274323509237,0.8805339357586719,3.9020891964831073
2025-05,1.69,3.35,3.55,4,0.05746947749590585,0.8808815503718214,3.8678041648154418
2025-06,1.79,3.17,3.53,4,0.05337440355596499,0.8811574551046156,3.8403037765665577
2025-07,1.17,3.26,3.54,4,0.051186437957182016,0.8813424506057407,3.8203200164656144
2025-08,1.17,3.21,3.49,4,0.05026030199436194,0.8814710184072622,3.8047517018708947
2025-09,1.47,3.16,3.42,4,0.04853158438938332,0.8815798291181415,3.7915029855188234
2025-10,1.26,3.1,3.37,4,0.044515049899640585,0.8816020045916961,3.788407782931037
2025-11,1.73,3,3.3,4,0.041290908474946354,0.8814174628567754,3.804775714962069
2025-12,1.65,3.48,3.72,4,0.04802612779480524,0.8809831723477786,3.84842893881294
2026-01,0.96,3.44,3.64,4,0.04778718618960087,0.8809502345797717,3.859691099842211
2026-02,1.56,3.41,3.62,4,0.046229017724897514,0.8809409915143521,3.868952070958535
2026-03,2.5,3.37,3.61,4,0.04616411324339184,0.8810078688608637,3.8673994784824584
2026-04,3.24,3.53,3.71,4,0.04658344899162199,0.8810935688030261,3.8641701664887402
2026-05,2.86,3.66,3.74,4,0.047207720269162444,0.8812705323075574,3.855718789956536
2026-06,2.27,3.68,3.71,4,0.045783159358437575,0.8813553666675368,3.85142924034034
