indice_modelo,fecha,residuo_estandarizado,abs_residuo,z_robusto,abs_z_robusto,p_bilateral_normal,umbral_bonferroni,criterio_clasico,criterio_robusto,criterio_bonferroni,candidato_formal,JB_sin_observacion,reduccion_JB_al_excluir,ranking
185,2025-09-01,-0.48946633898000336,0.48946633898000336,-0.3390772042362602,0.3390772042362602,0.6245115799364098,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.548358135265803,0.2991901997911528,102
131,2021-03-01,-0.46616425894574554,0.46616425894574554,-0.3084128061613139,0.3084128061613139,0.6410979302495458,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.542606432240174,0.3049419028167826,103
141,2022-01-01,0.45634904399323323,0.45634904399323323,0.9055695983779383,0.9055695983779383,0.6481390017891873,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.896708680099031,-0.04916034504207456,104
113,2019-09-01,0.44896863340565557,0.44896863340565557,0.8958573388765844,0.8958573388765844,0.6534542839759445,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.890112460050372,-0.04256412499341611,105
50,2014-06-01,-0.44865637633403654,0.44865637633403654,-0.28537328861328415,0.28537328861328415,0.65367955835188285,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.5387839537992125,0.30876438125774364,106
148,2022-08-01,-0.40873922077134317,0.40873922077134317,-0.2328442634621192,0.2328442634621192,0.6827310477830685,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.531677798413207,0.3158705366437493,107
108,2019-04-01,-0.4060862235253547,0.4060862235253547,-0.22935304879273663,0.22935304879273663,0.6846792477975017,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.531285013960127,0.3162633210968293,108
167,2024-03-01,-0.40135888371541745,0.40135888371541745,-0.22313210072482423,0.22313210072482423,0.6881559164588056,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.530609726823246,0.31693860823371,109
43,2013-11-01,-0.3997440957192638,0.3997440957192638,-0.2210071186696642,0.2210071186696642,0.6893450102351282,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.530386285083472,0.31716204997348374,110
73,2016-05-01,0.38382871287496245,0.38382871287496245,0.8101363881808985,0.8101363881808985,0.7011054053014476,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.833717950170062,0.013830384886894365,111
172,2024-08-01,-0.377518078002947,0.377518078002947,-0.19175876599591307,0.19175876599591307,0.7057886322751039,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.527685037646397,0.3198632974105591,112
174,2024-10-01,0.37232740649228396,0.37232740649228396,0.795001231285811,0.795001231285811,0.7096490956651161,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.824122660582137,0.02342567447481958,113
144,2022-04-01,-0.36188804281690135,0.36188804281690135,-0.1711904038511734,0.1711904038511734,0.7174356956657163,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.526203711497944,0.3213446235590123,114
76,2016-08-01,0.358018920681897,0.358018920681897,0.7761719635082401,0.7761719635082401,0.7203291541462711,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.812346389642458,0.0352019454144985,115
97,2018-05-01,0.357251744353218,0.357251744353218,0.7751623969673261,0.7751623969673261,0.7209033518561765,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.811720106956546,0.03582822810041009,116
107,2019-03-01,-0.35362370115004516,0.35362370115004516,-0.16031493426531354,0.16031493426531354,0.7236209096885913,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.52556018123711,0.3219881538198459,117
136,2021-08-01,0.35278828534203877,0.35278828534203877,0.7692887031293175,0.7692887031293175,0.7242471667697873,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.808086836559271,0.0394614984976851,118
96,2018-04-01,-0.34971208236949114,0.34971208236949114,-0.15516743519106768,0.15516743519106768,0.7265547851564005,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.525289299941033,0.32225903511592335,119
161,2023-09-01,0.344795378059058,0.344795378059058,0.7587704279220774,0.7587704279220774,0.7302482080275179,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.801625553287289,0.0459227817696668,120
40,2013-08-01,-0.3394847403704904,0.3394847403704904,-0.1417087531401559,0.1417087531401559,0.73424459069881,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.524683417056263,0.3228649180006933,121
183,2025-07-01,-0.3291282538786735,0.3291282538786735,-0.1280801232506357,0.1280801232506357,0.7420587493382249,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.524220803549381,0.32332753150757476,122
54,2014-10-01,-0.3138946492823821,0.3138946492823821,-0.1080334443803264,0.1080334443803264,0.7536010544070958,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.523816302778907,0.32373203227804925,123
112,2019-08-01,0.31063968442513884,0.31063968442513884,0.713823204988476,0.713823204988476,0.756074554863642,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.774682275279468,0.07286605977748817,124
145,2022-05-01,-0.30187527291948263,0.30187527291948263,-0.09221653271996404,0.09221653271996404,0.7627471462624356,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.523728973922606,0.3238193611343503,125
157,2023-05-01,-0.30035751895486756,0.30035751895486756,-0.09021924270626734,0.09021924270626734,0.7639044635056903,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.523732482086669,0.32381585297028703,126
193,2026-05-01,-0.2965338396698345,0.2965338396698345,-0.08518746770872193,0.08518746770872193,0.7668224280617526,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.523755765349362,0.32379256970759407,127
170,2024-06-01,-0.2940197072427076,0.2940197072427076,-0.08187899235179204,0.08187899235179204,0.7687428443995279,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.523782342437592,0.32376599261936434,128
