fecha,ipc,ipc_sa,infl_interanual_base,infl_interanual_ipc,infl_mensual_sa,infl_mensual_sa_anualizada,infl_3m_sa_anualizada,infl_subyacente,exp_inf_24m,meta_inflacion
2016-12-01,71.8979284,71.99867000833973,4.23,4.145295846464769,0.12506027666967512,1.5007233200361014,4.844168844124752,3.09,4.66,4
2017-01-01,72.272072,72.31212875834497,3.83,3.756235044697487,0.43442243499107747,5.21306921989293,3.667917016037947,3.21,4.4,4
2017-02-01,72.5158323,72.54881860367244,3.96,3.8814292248418703,0.3267824217161319,3.921389060593583,3.545060533507538,3.15,4.46,4
2017-03-01,72.6915664,72.68743970005913,4,3.9205116087289937,0.19089053945533507,2.290686473464021,3.808381584650178,3.13,4.28,4
2017-04-01,72.8786382,72.88600378571353,4.09,4.007359806474042,0.2728027915598119,3.273633498717743,3.1619030109251156,3.07,4.51,4
2017-05-01,73.1053919,73.20509701313328,3.93,3.8575759848583857,0.43684212538002143,5.242105504560257,3.6021418255806736,2.94,4.17,4
2017-06-01,73.7346334,73.70402053253818,4.36,4.272341954477898,0.6792300517573402,8.150760621088082,5.555499874788694,2.97,4.26,4
2017-07-01,74.8513953,74.65319185319268,5.22,5.087883308176622,1.2795930261404465,15.355116313685356,9.582660813111232,2.89,4.48,4
2017-08-01,74.6303105,74.507041657386,4.72,4.608967461779923,-0.1959640839080734,-2.351569006896881,7.051435975958853,2.77,4.51,4
2017-09-01,74.2221538,74.23331741436627,4.36,4.267584652145118,-0.36805686597816134,-4.416682391737936,2.862288305016847,2.86,4.75,4
2017-10-01,74.6246416,74.6638076044662,4.2,4.117339289333,0.5782400292006606,6.938880350407928,0.05687631725770359,2.91,4.53,4
2017-11-01,75.2652208,75.2824163598541,4.69,4.584954908737338,0.8251121617530721,9.901345941036864,4.141181299902286,2.92,4.63,4
2017-12-01,75.979495,76.08595559903917,5.68,5.521604917877454,1.0617102858097915,12.7405234297175,9.860249907054095,2.92,4.56,4
2018-01-01,75.6790463,75.7209913720801,4.71,4.6063547771842295,-0.48082770570214706,-5.769932468425765,5.623978967442866,2.67,4.71,4
2018-02-01,75.5259876,75.56034317564631,4.15,4.067188908032193,-0.21238344743590432,-2.548601369230852,1.473996530686961,2.62,4.56,4
2018-03-01,75.7017217,75.6974241135545,4.14,4.057553160174798,0.1812547915979401,2.175057499175282,-2.047825446160445,2.67,4.62,4
2018-04-01,75.7357347,75.74338904233245,3.92,3.845453859611325,0.06070349099633887,0.7284418919560665,0.11829934063349869,2.62,4.46,4
2018-05-01,76.0928718,76.19665140085124,4.09,4.0052466986202795,0.5966349643889757,7.159619572667708,3.354372987933018,2.63,4.48,4
2018-06-01,76.5293727,76.49759952319862,3.79,3.720201117080002,0.3941844702170627,4.7302136426047525,4.206091702409509,2.6,4.43,4
2018-07-01,76.8014771,76.5981099159936,2.61,2.5719121067134587,0.13130401577390316,1.575648189286838,4.488493801519766,2.63,4.36,4
2018-08-01,77.1416077,77.01419088188874,3.36,3.3096062230461243,0.5417300324245922,6.500760389095106,4.268874073662232,2.79,4.33,4
2018-09-01,77.6007839,77.61245568775641,4.55,4.451485459855942,0.7738223708316561,9.285868449979873,5.7874256761206055,2.82,4.32,4
2018-10-01,77.8615507,77.90241556416656,4.34,4.246148947963757,0.372903517308476,4.4748422077017125,6.753823682258897,2.86,4.32,4
2018-11-01,77.634797,77.65253392795141,3.15,3.0997588687033506,-0.32127791750733437,-3.855335010088013,3.301791882531191,2.94,4.47,4
2018-12-01,77.7368361,77.8457590421519,2.31,2.2865724862277226,0.24852390333416352,2.9822868400099622,1.2005980125412208,2.96,4.38,4
2019-01-01,78.785572,78.82923886233483,4.1,4.022856073289827,1.255455881359957,15.065470576319484,4.730807468747145,2.94,4.07,4
2019-02-01,78.89328,78.9291673036309,4.46,4.3619249469916355,0.1266854262659045,1.520225115190854,6.5226608438401,2.98,4.25,4
2019-03-01,78.8592669,78.8547900597258,4.17,4.086392827511975,-0.09427732788171994,-1.1313279345806393,5.151455918976566,2.89,4.35,4
2019-04-01,79.3354497,79.34346785277171,4.75,4.643495567548683,0.6178062310330468,7.413674772396561,2.600857317668926,2.98,4.3,4
2019-05-01,79.5451969,79.65368496975788,4.54,4.43707829588984,0.3902176927301326,4.6826123127615915,3.654986383525838,3,4.39,4
2019-06-01,80.2027826,80.16948431070786,4.8,4.688358602852194,0.6454647771794164,7.745577326152997,6.613954803770383,3.05,4.36,4
2019-07-01,80.1574318,79.94517818460237,4.37,4.276872535856935,-0.280182051221356,-3.3621846146562717,3.0220016747527723,3.15,4.6,4
2019-08-01,79.4658331,79.33457729779356,3.01,2.968436306428668,-0.7667061970036748,-9.200474364044098,-1.6056938841824575,3.1,4.53,4
2019-09-01,79.000988,79.012870389818,1.8,1.7882829775658138,-0.406330958031198,-4.875971496374376,-5.812876825024915,2.95,4.34,4
2019-10-01,79.5508657,79.59261718442248,2.17,2.146437868763762,0.7310584085064242,8.77270090207709,-1.7679149861137944,3.01,4.22,4
2019-11-01,79.9023339,79.92058888351637,2.92,2.8789320978757083,0.4112163116046119,4.934595739255343,2.9437750483193525,3.08,4.25,4
2019-12-01,80.3841855,80.49681784299736,3.41,3.348823296243353,0.7184151017018081,8.620981220421697,7.442759287251377,3.12,4.1,4
2020-01-01,80.1914449,80.235890966659,1.78,1.768695345984117,-0.3246720688992788,-3.8960648267913456,3.219837377628565,2.56,4.11,4
2020-02-01,79.8683209,79.90465173429449,1.24,1.2283236674178075,-0.4136862523004048,-4.9642350276048575,-0.0797728779915019,2.41,3.85,4
2020-03-01,80.2538022,80.24924619196226,1.77,1.752930814188769,0.43032981888924127,5.163957826670895,-1.2321140092417693,2.45,3.99,4
2020-04-01,80.8263552,80.8345240333075,1.88,1.8618029022022144,0.726678319046492,8.720139828557905,2.973287542541314,2.35,3.97,4
2020-05-01,80.979414,81.08985813311378,1.8,1.7869599640607523,0.3153747545886709,3.784497055064051,5.889531570097617,2.28,3.96,4
2020-06-01,82.1188513,82.08475750451952,2.39,2.360939395547046,1.2194442086657098,14.633330503988518,9.045989129203493,2.13,3.77,4
2020-07-01,82.464650700000007,82.24628766290508,2.88,2.8377126754612014,0.19659122869279955,2.3590947443135946,6.925640767788721,2.03,3.9,4
2020-08-01,82.7934436,82.65669149619359,4.19,4.102171772650287,0.4977529001854109,5.97303480222493,7.655153350175681,2.06,3.92,4
2020-09-01,82.9238269,82.93629931662888,4.97,4.846207949718373,0.3377052190368879,4.052462628442655,4.128197391660393,2.1,3.99,4
2020-10-01,83.8024975,83.84648041128766,5.34,5.2066172958118,1.0914677545998508,13.09761305519821,7.707703495288598,2.21,4.15,4
2020-11-01,84.2673426,84.28659484051727,5.46,5.318933232473544,0.5235322482663562,6.282386979196275,7.81082088761238,2.26,4.27,4
2020-12-01,84.2616737,84.37973908406379,4.82,4.710966079509227,0.11044794873749098,1.3253753848498917,6.901791806414792,2.33,4.26,4
2021-01-01,84.3920571,84.43883135378772,5.24,5.105644987092273,0.07000683868376711,0.8400820642052054,2.815948142750458,2.69,4.12,4
2021-02-01,84.6584927,84.69700250758385,6,5.824614098039316,0.3052828586466383,3.663394303759659,1.9429505842715855,2.71,4.39,4
2021-03-01,84.9419348,84.93711264669284,5.84,5.677376273052737,0.28309199390266215,3.397103926831946,2.6335267649322702,2.79,4.34,4
2021-04-01,85.0326363,85.0412302472331,5.2,5.073204870816017,0.12250691680977256,1.4700830017172706,2.843527077436292,2.84,4.39,4
2021-05-01,85.1686885,85.28484619372965,5.17,5.043888619671666,0.2860585034443197,3.4327020413318365,2.7666296566270177,2.89,4.41,4
2021-06-01,85.3274161,85.29199018466704,3.91,3.8328206842365375,0.00837627323058143,0.1005152787669772,1.6677667739386948,3.05,4.23,4
2021-07-01,85.6108582,85.38416413355854,3.82,3.744239807922156,0.10801035237841816,1.296124228541018,1.6097805162132772,3.09,4.12,4
2021-08-01,85.7865924,85.6448964337619,3.62,3.5513853867739087,0.3048984790371634,3.6587817484459606,1.685140418584652,3.18,4.14,4
2021-09-01,85.9679953,85.98092558426467,3.67,3.6052641099843186,0.39158394224729776,4.699007306967573,3.217971094651517,3.3,4.2,4
2021-10-01,86.2797817,86.32506478937843,2.96,2.913248123674972,0.3994517682905041,4.793421219486049,4.383736758299861,3.17,3.89,4
2021-11-01,86.699276,86.71908385512774,2.89,2.8451138184076186,0.45539794299900294,5.464775315988035,4.985734614147219,3.11,4.08,4
2021-12-01,86.8466659,86.9683533115348,3.07,3.021698290221231,0.28703242055110323,3.4443890466132387,4.567528527362441,3.2,4.02,4
2022-01-01,86.8126528,86.86076866769638,2.87,2.8279093644507647,-0.12378208708669902,-1.4853850450403885,2.474593105853629,3.29,4.09,4
2022-02-01,87.1811276,87.22078491424865,2.98,2.9362450109338134,0.413618505129687,4.963422061556244,2.307475354376365,3.37,3.92,4
