fecha_inicio,fecha_fin,beta,se_beta,p_beta,rho,se_rho,p_rho,r2_ajustado,beta_ic_inf,beta_ic_sup,rho_ic_inf,rho_ic_sup,velocidad_ajuste,vida_media,multiplicador_lp,rho_ic_incluye_uno
2014-01-01,2018-02-01,0.15039130653476407,0.02564733537315723,4.3237604280663795e-7,0.6293773982666443,0.04922286470401202,6.521499140983214e-17,0.8696045643612988,0.10012252920337589,0.20066008386615225,0.5329005834467807,0.7258542130865079,0.3706226017333557,1.4969998827904112,0.4057801813257008,FALSE
2014-02-01,2018-03-01,0.15039110676196626,0.02601905143051155,5.784325462008383e-7,0.632872385008954,0.05472730556562892,2.399326743179498e-15,0.8613631274711897,0.09939376595816363,0.2013884475657689,0.5256068661003214,0.7401379039175867,0.36712761499104596,1.5151205771467864,0.40964258917334295,FALSE
2014-03-01,2018-04-01,0.14913222107605603,0.027225599684727386,1.6460664351540223e-6,0.63627039067425,0.06164746873978657,1.1433600477560944e-13,0.8581607863207542,0.09577004569399036,0.2024943964581217,0.5154413519442683,0.7570994294042316,0.36372960932575005,1.533064893789924,0.4100084712721195,FALSE
2014-04-01,2018-05-01,0.15180158406405725,0.027702896087989076,1.6348676809038609e-6,0.6302735164932826,0.061733263414338234,1.632523336268972e-13,0.8571372558098201,0.09750390773159867,0.20609926039651583,0.5092763202011796,0.7512707127853855,0.36972648350671744,1.5016141189869552,0.41057806469332675,FALSE
2014-05-01,2018-06-01,0.17160187117509948,0.025940973651355153,3.138850629494591e-8,0.580539857386572,0.04940432610337019,1.3662170767871155e-15,0.8694634857244373,0.12075756281844338,0.22244617953175558,0.4837073782239664,0.6773723365491776,0.419460142613428,1.2746436819304046,0.4091017327795236,FALSE
2014-06-01,2018-07-01,0.16223857756418877,0.02876579592097808,9.398214605328238e-7,0.6051312713740878,0.058524694819347155,1.0773979168748718e-13,0.871589280730514,0.10585761755907175,0.2186195375693058,0.49042286952816744,0.7198396732200083,0.39486872862591216,1.3799195000614977,0.4108671206473004,FALSE
2014-07-01,2018-08-01,0.1520251604976231,0.028671741069323377,3.006566613517775e-6,0.6264588783385397,0.06280554054934624,3.4766029577657187e-13,0.8705190459407628,0.09582854800174928,0.20822177299349692,0.5033600188618211,0.7495577378152584,0.37354112166146025,1.4821220155128751,0.4069837340034634,FALSE
2014-08-01,2018-09-01,0.1592846917302324,0.03307764660892493,1.565373811645809e-5,0.6103515956328031,0.07167350506380138,4.37684088226259e-11,0.8745677351297099,0.09445250437673955,0.22411687908372527,0.46987152570775237,0.7508316655578537,0.38964840436719694,1.4039274040983358,0.40879082255942123,FALSE
2014-09-01,2018-10-01,0.1469160740827167,0.031533663633403694,2.6372211335415074e-5,0.6384231997864414,0.0686540324954497,3.1668224211543257e-12,0.8804860556480147,0.08511009336124546,0.20872205480418793,0.5038612960953599,0.7729851034775228,0.36157680021355865,1.544604272829296,0.40632052165941906,FALSE
2014-10-01,2018-11-01,0.14880786362685874,0.03096300126150038,1.6159045262763094e-5,0.6369256805308348,0.06824095207721226,2.8266958586307804e-12,0.880145697487752,0.088120381154318,0.2094953460993995,0.5031734144594987,0.7706779466021708,0.36307431946916524,1.536563166689452,0.409855105820825,FALSE
