fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,lambda_se,lambda_li_95,lambda_ls_95,pi_estrella_t,pi_estrella_se,pi_estrella_li_95,pi_estrella_ls_95,expectativa,inflacion,meta_inflacion
2018-01-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724552,0.030135756438093877,0.8967556276466293,0.708112357592244,0.07570093207191314,0.5597412571351812,0.8564834580493068,4.365959239911656,0.1874661832250228,3.9985322724714245,4.733386207351887,4.71,4.71,4
2018-02-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.0301357564380938,0.8967556276466295,0.7081123575922441,0.0757009320719138,0.55974125713518,0.8564834580493083,4.36595923991166,0.18746618322496786,3.998532272471536,4.733386207351783,4.56,4.15,4
2018-03-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724544,0.030135756438093714,0.8967556276466295,0.708112357592245,0.07570093207191265,0.5597412571351832,0.8564834580493068,4.365959239911649,0.18746618322491018,3.998532272471638,4.73338620735166,4.62,4.14,4
2018-04-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245457,0.03013575643809374,0.8967556276466295,0.7081123575922447,0.07570093207191293,0.5597412571351823,0.856483458049307,4.3659592399116525,0.1874661832249882,3.998532272471489,4.733386207351816,4.46,3.92,4
2018-05-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.030135756438093766,0.8967556276466295,0.7081123575922444,0.07570093207191403,0.5597412571351799,0.856483458049309,4.365959239911659,0.18746618322514105,3.9985322724711954,4.733386207352122,4.48,4.09,4
2018-06-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.319189237172455,0.030135756438093735,0.8967556276466295,0.7081123575922448,0.07570093207191228,0.5597412571351836,0.8564834580493059,4.365959239911659,0.1874661832249485,3.998532272471573,4.733386207351744,4.43,3.79,4
2018-07-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245534,0.030135756438093783,0.8967556276466294,0.7081123575922446,0.07570093207191263,0.5597412571351827,0.8564834580493064,4.36595923991166,0.1874661832250358,3.9985322724714027,4.733386207351916,4.36,2.61,4
2018-08-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724554,0.03013575643809377,0.8967556276466294,0.7081123575922448,0.0757009320719108,0.5597412571351865,0.856483458049303,4.36595923991166,0.18746618322492786,3.998532272471614,4.733386207351705,4.33,3.36,4
2018-09-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724555,0.030135756438093787,0.8967556276466294,0.7081123575922446,0.07570093207191146,0.559741257135185,0.8564834580493041,4.365959239911661,0.1874661832250065,3.998532272471462,4.73338620735186,4.32,4.55,4
2018-10-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245545,0.030135756438093773,0.8967556276466293,0.708112357592245,0.07570093207191146,0.5597412571351854,0.8564834580493046,4.365959239911653,0.1874661832250247,3.9985322724714183,4.733386207351889,4.32,4.34,4
2018-11-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724553,0.030135756438093776,0.8967556276466296,0.708112357592244,0.07570093207191164,0.5597412571351841,0.8564834580493039,4.365959239911671,0.18746618322496877,3.9985322724715457,4.7333862073517965,4.47,3.15,4
2018-12-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245545,0.030135756438093766,0.8967556276466295,0.7081123575922444,0.07570093207191152,0.5597412571351847,0.8564834580493041,4.365959239911667,0.1874661832249172,3.998532272471642,4.733386207351691,4.38,2.31,4
2019-01-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724553,0.030135756438093672,0.8967556276466297,0.7081123575922448,0.07570093207191159,0.559741257135185,0.8564834580493046,4.365959239911672,0.1874661832249468,3.9985322724715897,4.733386207351755,4.07,4.1,4
2019-02-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245545,0.030135756438093707,0.8967556276466295,0.708112357592245,0.07570093207191146,0.5597412571351854,0.8564834580493046,4.365959239911663,0.18746618322496322,3.9985322724715484,4.733386207351778,4.25,4.46,4
2019-03-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245534,0.030135756438093728,0.8967556276466295,0.7081123575922448,0.07570093207191049,0.5597412571351872,0.8564834580493024,4.365959239911662,0.18746618322489447,3.9985322724716825,4.733386207351642,4.35,4.17,4
2019-04-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245523,0.030135756438093738,0.8967556276466296,0.7081123575922443,0.07570093207191135,0.559741257135185,0.8564834580493037,4.3659592399116685,0.18746618322491862,3.9985322724716412,4.733386207351696,4.3,4.75,4
2019-05-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724547,0.030135756438093676,0.8967556276466297,0.7081123575922447,0.07570093207191182,0.5597412571351844,0.8564834580493049,4.365959239911663,0.18746618322501513,3.9985322724714467,4.733386207351879,4.39,4.54,4
2019-06-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724546,0.030135756438093624,0.89675562764663,0.7081123575922446,0.07570093207191173,0.5597412571351845,0.8564834580493046,4.365959239911674,0.1874661832250402,3.998532272471408,4.7333862073519395,4.36,4.8,4
2019-07-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245473,0.030135756438093637,0.89675562764663,0.7081123575922444,0.07570093207191127,0.5597412571351853,0.8564834580493036,4.365959239911675,0.18746618322498884,3.9985322724715098,4.73338620735184,4.6,4.37,4
2019-08-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724547,0.030135756438093686,0.8967556276466299,0.7081123575922443,0.07570093207191145,0.5597412571351849,0.8564834580493038,4.365959239911671,0.1874661832249316,3.9985322724716186,4.733386207351724,4.53,3.01,4
2019-09-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724549,0.030135756438093658,0.89675562764663,0.7081123575922442,0.0757009320719123,0.5597412571351831,0.8564834580493054,4.365959239911679,0.1874661832250419,3.9985322724714103,4.733386207351948,4.34,1.8,4
2019-10-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245473,0.030135756438093617,0.89675562764663,0.7081123575922446,0.07570093207191193,0.5597412571351841,0.856483458049305,4.365959239911674,0.1874661832249309,3.9985322724716226,4.733386207351725,4.22,2.17,4
2019-11-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724547,0.030135756438093613,0.89675562764663,0.7081123575922447,0.0757009320719122,0.5597412571351836,0.8564834580493057,4.365959239911674,0.1874661832250266,3.9985322724714347,4.733386207351913,4.25,2.92,4
2019-12-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245445,0.030135756438093554,0.89675562764663,0.7081123575922452,0.07570093207191256,0.5597412571351835,0.8564834580493069,4.365959239911667,0.18746618322504022,3.998532272471401,4.733386207351932,4.1,3.41,4
2020-01-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724541,0.03013575643809349,0.89675562764663,0.7081123575922459,0.07570093207191216,0.559741257135185,0.8564834580493068,4.365959239911659,0.18746618322502903,3.998532272471415,4.733386207351902,4.11,1.78,4
2020-02-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245434,0.030135756438093526,0.8967556276466301,0.7081123575922452,0.07570093207191202,0.5597412571351846,0.8564834580493058,4.365959239911669,0.18746618322502584,3.998532272471432,4.733386207351907,3.85,1.24,4
2020-03-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245423,0.03013575643809348,0.89675562764663,0.7081123575922459,0.075700932071912,0.5597412571351853,0.8564834580493065,4.365959239911659,0.18746618322498995,3.9985322724714916,4.733386207351826,3.99,1.77,4
2020-04-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245395,0.030135756438093457,0.8967556276466302,0.7081123575922456,0.07570093207191235,0.5597412571351843,0.8564834580493068,4.365959239911668,0.18746618322499492,3.9985322724714907,4.7333862073518445,3.97,1.88,4
2020-05-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724542,0.030135756438093457,0.8967556276466302,0.7081123575922456,0.07570093207191196,0.5597412571351851,0.856483458049306,4.365959239911671,0.18746618322495312,3.9985322724715764,4.733386207351766,3.96,1.8,4
2020-06-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724541,0.030135756438093457,0.8967556276466302,0.7081123575922456,0.07570093207191185,0.5597412571351853,0.8564834580493058,4.36595923991167,0.18746618322498668,3.9985322724715098,4.733386207351831,3.77,2.39,4
2020-07-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245445,0.030135756438093513,0.8967556276466302,0.708112357592245,0.07570093207191252,0.5597412571351834,0.8564834580493066,4.365959239911678,0.1874661832250324,3.998532272471428,4.733386207351929,3.9,2.88,4
2020-08-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245445,0.030135756438093495,0.8967556276466302,0.7081123575922452,0.0757009320719119,0.5597412571351849,0.8564834580493056,4.3659592399116764,0.1874661832249788,3.998532272471531,4.733386207351821,3.92,4.19,4
2020-09-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245434,0.030135756438093467,0.8967556276466303,0.7081123575922451,0.07570093207191246,0.5597412571351836,0.8564834580493066,4.36595923991168,0.1874661832250039,3.9985322724714853,4.733386207351875,3.99,4.97,4
